LIST ITEM FOR BID,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 14,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13,,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
[E] CLAN NORN TREASURE 13[D4],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21,,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D4],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D5],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D6],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D7],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D8],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D9],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D10],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D11],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D12],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D13],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 21[D14],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20,,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D1],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D2],,,,,,,,,,,,,,,,,,,,,,,,,,
[R] CLAN NORN TREASURE 20[D3],,,,,,,,,,,,,,,,,,,,,,,,,,
